,action_p,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z
27,0.05,0.0,0,1.0,0.04844639506173855,0.002199040982328303,-0.004956762489948022,0.09852868318557739,-0.1202891543507576,-0.036606419831514345,0.016274668276309967,1.7885183095932016,6.8155517578125,0.5336945075816999,-0.0226681137084961,-0.011450015939772256,-0.004956762489948022,1.0212702751159668,0.615692138671875,0.019639957696199414,-0.0187531802803278,-0.0001395982690155482
28,0.05,0.0,0,1.0,0.04844639506173855,0.002199040982328303,-0.004956762489948022,0.09852868318557739,-0.1202891543507576,-0.036606419831514345,-0.24815911054611206,0.6703715324401864,7.064133644104004,0.5333033281569939,-0.023168841838836676,-0.011450015939772256,-0.004956762489948022,1.0212702751159668,0.6374211311340332,0.019639957696199414,-0.0187531802803278,-0.0001395982690155482
29,0.05,0.0,0,1.0,0.04834631339208841,0.002013209934783264,-0.004736312753590087,0.2193743884563446,-0.09744055569171906,-0.04450359940528868,-0.3904622793197632,0.8101946711540233,9.513909339904785,0.5331293704602335,-0.023128467082977302,-0.010711845941841729,-0.004736312753590087,1.0215815305709839,0.6590402126312256,0.018022568896412846,-0.02086618542671204,-0.0072453692555427525
30,0.05,0.0,0,1.0,0.047727293927866954,0.001080596429620973,-0.00383292638804736,0.2193743884563446,-0.09744055569171906,-0.04450359940528868,-0.45810699462890625,-1.3032751083374008,12.478828430175781,0.538726256236418,-0.02361942529678345,-0.009853974916041024,-0.00383292638804736,1.0218497514724731,0.680988073348999,0.018022568896412846,-0.02086618542671204,-0.0072453692555427525
31,0.05,0.0,0,1.0,0.047727293927866954,0.001080596429620973,-0.00383292638804736,0.02187230810523033,-0.17271947860717773,-0.0030505026225000407,-0.8360773324966431,0.9522225260734568,7.8833160400390625,0.5374226710916882,-0.023962134838104252,-0.009853974916041024,-0.00383292638804736,1.0218497514724731,0.7026541233062744,0.017557803541421883,-0.027647994458675388,0.003851151792332532
32,0.05,0.0,0,1.0,0.04836834764595423,0.0002915885085332016,-0.0027077455904992572,-0.12592662870883942,0.0745057836174965,0.06821139156818389,-0.5020136833190918,-0.36443451046943526,11.412878036499023,0.5280027575438265,-0.023969067573547366,-0.009017124772071965,-0.0027077455904992572,1.0220637321472168,0.7244381904602051,0.019707115367054936,-0.023118538782000545,0.0019164145924150968
33,0.05,0.0,0,1.0,0.04836834764595423,0.0002915885085332016,-0.0027077455904992572,-0.12592662870883942,0.0745057836174965,0.06821139156818389,-0.6109707951545715,-1.9380253553390492,9.049187660217285,0.5309698346019956,-0.024335497379302982,-0.009017124772071965,-0.0027077455904992572,1.0220637321472168,0.74623703956604,0.019707115367054936,-0.023118538782000545,0.0019164145924150968
34,0.05,0.0,0,1.0,0.0483887778532852,0.0005209352338048144,-0.002096702602571968,-0.0407562218606472,0.08732710778713228,0.0673224776983261,0.45951133966445923,1.2211047410964972,4.9821319580078125,0.5272191323496427,-0.024359558105468755,-0.008208760060370095,-0.002096702602571968,1.0222941637039185,0.7705180644989014,0.017783826217055314,-0.0240349043160677,0.005985344760119918
35,0.05,0.0,0,1.0,0.04859185310584634,0.0007308118612775412,-0.0014870746448530463,0.09447647631168365,-0.07252398878335953,-0.014118993654847136,-0.03736213222146034,3.4768908023834237,8.711695671081543,0.5274657735883217,-0.024748295783996586,-0.007259177975356706,-0.0014870746448530463,1.0225193500518799,0.7921571731567383,0.02219760976731777,-0.017025697976350788,-0.005851780064404008
36,0.05,0.0,0,1.0,0.04859185310584634,0.0007308118612775412,-0.0014870746448530463,0.09447647631168365,-0.07252398878335953,-0.014118993654847136,-0.12601706385612488,2.797062397003175,11.263032913208008,0.5372959514361451,-0.02506198596954346,-0.007259177975356706,-0.0014870746448530463,1.0225193500518799,0.8144400119781494,0.02219760976731777,-0.017025697976350788,-0.005851780064404008
